document_id,pdf_filename,extraction_status,extraction_method,text_length,page_count,language,quality_flags,duplicate_candidate,duplicate_of,duplicate_reason,processing_status,exclusion_reason,extraction_error
26,0026.pdf,no_text,,0,1,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
27,0027.pdf,no_text,,0,1,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
28,0028.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
29,0029.pdf,success,layout,1903,1,English,[],False,,,included,,
30,0030.pdf,no_text,,0,1,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
31,0031.pdf,success,default_fallback,5,1,other/unknown,"[""extremely_short_text""]",False,,,needs_review,insufficient_text,
32,0032.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
33,0033.pdf,no_text,,9,4,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
34,0034.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
35,0035.pdf,no_text,,6,3,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
36,0036.pdf,success,layout,429261,139,English,"[""possible_badly_extracted_table""]",False,,,included,,
37,0037.pdf,no_text,,15,6,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
38,0038.pdf,no_text,,15,6,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
39,0039.pdf,no_text,,12,5,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
40,0040.pdf,no_text,,3,2,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr"", ""suspicious_page_extraction""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
41,0041.pdf,no_text,,0,1,other/unknown,"[""empty_or_no_text_layer"", ""requires_ocr""]",False,,,extraction_failed,unreadable_or_scanned_requires_ocr,
